ts,len,hex
1757635236.985341,64,01 00 80 78 80 78 80 80 78 80 78 80 80 78 80 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635236.989265,64,02 F8 00 78 80 78 80 80 78 80 78 80 80 78 80 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635236.994198,64,02 F8 00 78 80 78 80 80 78 80 78 80 80 78 80 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.017115,64,0E 80 80 F8 F8 78 F8 F8 00 F8 80 80 80 80 78 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.021109,64,02 80 78 F8 F8 78 F8 F8 00 F8 80 80 80 80 78 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.031749,64,05 80 78 00 80 78 F8 F8 00 F8 80 80 80 80 78 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.636218,64,01 00 78 00 80 78 F8 F8 00 F8 80 80 80 80 78 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.640042,64,02 F8 00 00 80 78 F8 F8 00 F8 80 80 80 80 78 78 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.666715,64,11 F8 78 F8 F8 80 80 80 F8 F8 80 F8 80 F8 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
1757635237.671129,64,02 80 78 F8 F8 80 80 80 F8 F8 80 F8 80 F8 80 80 80 78 80 78 80 78 00 80 78 78 78 00 3D BD DD F7 BF 97 2B 8B BB DD 17 67 FD 55 23 BB EB 9F DB BB 9F B5 7F 5F AF E9 BB 5D 0E BD EF BD 75 B5 FF 57
